inventory_book_id;book_isbn;book_name;book_type;width;height;page_count;dust_jacket;lamination;color_page;paper_gsm_type;cover_type;special_inst;file_origin;book_author;book_id;production_cost
1174;9789352065325;Sociopath: Deceitful Game : Trust is a funny word...;Paperback;5;8;350;No;Gloss;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk;;;
1173;9789352065127;The Cry in the Nights;Paperback;5;8;222;No;Gloss;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk;;;
1171;9789352064854;25 Ways to a Holistic Life : Tips to Read On-The-Go;Paperback;5;8;154;No;Matte;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk;;;
1170;9789352064168;Wisdom after Vagabond;Paperback;5;8;106;No;Gloss;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk;;;
