Inventory Book Id;ISBN;Book Name;Book Type;Width;Height;Page Count;Dust Jacket;Lamination;Color Page;Paper GSM Type;Cover Type;Special Instruction;File Origin
NP1174;9789352065325;Sociopath: Deceitful Game : Trust is a funny word...;Paperback;5;8;350;No;Gloss;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk
NP1173;9789352065127;The Cry in the Nights;Paperback;5;8;222;No;Gloss;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk
NP1172;9789352064793;Intelligent Design & Industrial Logic :Attitudes in Engineering, Architecture, Design & Strategy [Objectivity + Subjectivity];Paperback;8;11;170;No;Gloss;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk
NP1171;9789352064854;25 Ways to a Holistic Life : Tips to Read On-The-Go;Paperback;5;8;154;No;Matte;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk
NP1170;9789352064168;Wisdom after Vagabond;Paperback;5;8;106;No;Gloss;;70 GSM Seshai NS;250 GSM ITC PL Graphics;;Hard Disk
